date,machine_id,product_type,shift,workers,machine_hours,downtime_hours,maintenance_hours,material_availability_pct,quality_rate_pct,temperature_c,energy_consumption_kwh,production_target,actual_production,production_gap,shortfall_units,units_per_hour,required_ot_hours,ot_rate_per_hour,ot_workers,estimated_ot_cost,production_status
2024-02-14,M05,Product_B,Morning,20,9.34,0.63,1.82,76.39,97.07,32.1,288.78,477,282,195,195,33.75,5.78,180,12,12484.8,Shortfall
2024-02-14,M03,Product_A,Night,16,9.6,2.74,1.16,77.84,91.83,23.4,426.46,515,265,250,250,34.47,7.25,230,10,16675.0,Shortfall
2024-02-14,M03,Product_C,Evening,24,11.11,1.53,0.34,87.65,97.44,34.5,276.07,462,347,115,115,34.19,3.36,200,15,10080.0,Shortfall
2024-02-14,M01,Product_A,Morning,18,10.03,0.1,1.25,92.89,95.36,23.4,606.56,562,476,86,86,49.91,1.72,180,11,3405.6,Shortfall
2024-02-14,M04,Product_A,Evening,21,9.31,0.84,0.64,99.99,91.7,36.2,348.69,467,390,77,77,45.22,1.7,200,13,4420.0,Shortfall
2024-02-15,M01,Product_B,Evening,15,7.3,1.88,0.31,93.91,92.14,34.6,601.09,368,219,149,149,35.57,4.19,200,9,7542.0,Shortfall
2024-02-15,M05,Product_A,Evening,8,6.15,1.01,0.01,84.77,99.25,28.7,360.68,335,200,135,135,35.77,3.77,200,5,3770.0,Shortfall
2024-02-15,M05,Product_C,Evening,13,10.8,0.6,1.58,76.28,97.9,31.8,232.63,426,269,157,157,27.13,5.79,200,8,9264.0,Shortfall
2024-02-15,M03,Product_C,Morning,29,7.58,1.53,1.89,79.38,94.69,27.5,411.85,331,216,115,115,35.54,3.24,180,18,10497.6,Shortfall
2024-02-15,M01,Product_A,Evening,19,7.95,0.85,1.2,83.57,96.44,31.8,607.01,440,308,132,132,43.61,3.03,200,12,7272.0,Shortfall
2024-02-15,M03,Product_B,Night,11,9.78,1.73,1.5,93.74,97.64,28.5,624.99,441,325,116,116,39.14,2.96,230,7,4765.6,Shortfall
2024-02-15,M05,Product_A,Night,28,10.16,2.8,1.74,84.98,98.98,22.1,591.82,503,355,148,148,44.31,3.34,230,17,13059.4,Shortfall
2024-02-15,M03,Product_A,Morning,29,6.94,0.69,0.07,94.03,93.57,23.8,529.77,416,336,80,80,51.41,1.56,180,18,5054.4,Shortfall
2024-02-15,M05,Product_C,Evening,10,10.35,1.59,0.38,85.98,95.57,20.6,384.59,417,284,133,133,30.4,4.38,200,6,5256.0,Shortfall
2024-02-15,M03,Product_A,Morning,24,7.26,2.0,0.94,79.07,94.25,26.1,302.16,405,227,178,178,38.93,4.57,180,15,12339.0,Shortfall
2024-02-16,M03,Product_A,Morning,11,6.82,1.7,0.66,97.4,94.33,36.1,291.64,381,250,131,131,44.22,2.96,180,7,3729.6,Shortfall
2024-02-16,M04,Product_A,Morning,19,7.01,2.22,1.8,96.88,97.37,29.4,641.43,380,248,132,132,48.07,2.75,180,12,5940.0,Shortfall
2024-02-16,M04,Product_A,Night,16,9.27,0.18,0.9,80.71,97.57,35.6,200.82,442,297,145,145,33.54,4.32,230,10,9936.0,Shortfall
2024-02-16,M05,Product_A,Morning,27,11.98,2.84,0.37,82.89,99.35,31.5,580.23,686,486,200,200,47.24,4.23,180,17,12943.8,Shortfall
2024-02-16,M05,Product_C,Night,16,6.5,2.82,1.64,94.67,89.32,21.3,448.69,241,133,108,108,30.4,3.55,230,10,8165.0,Shortfall
2024-02-16,M03,Product_B,Evening,25,11.53,2.73,0.39,92.06,97.44,21.8,289.26,549,428,121,121,43.27,2.8,200,15,8400.0,Shortfall
2024-02-16,M02,Product_A,Evening,24,7.59,0.75,0.08,93.42,92.06,29.5,225.54,401,319,82,82,44.62,1.84,200,15,5520.0,Shortfall
2024-02-16,M02,Product_A,Morning,13,7.48,1.78,1.55,95.54,88.39,29.6,648.46,391,255,136,136,42.8,3.18,180,8,4579.2,Shortfall
2024-02-16,M05,Product_A,Evening,28,11.2,2.4,0.24,90.34,99.25,24.9,382.83,572,486,86,86,49.61,1.73,200,17,5882.0,Shortfall
2024-02-16,M02,Product_B,Morning,19,6.73,2.77,2.0,95.64,93.49,33.9,221.49,329,190,139,139,42.16,3.3,180,12,7128.0,Shortfall
2024-02-16,M05,Product_A,Evening,15,11.77,0.68,0.56,76.85,88.02,26.7,445.89,635,379,256,256,33.84,7.57,200,9,13626.0,Shortfall
2024-02-16,M02,Product_B,Morning,13,8.7,2.58,0.54,98.81,98.04,36.5,573.34,427,298,129,129,42.02,3.07,180,8,4420.8,Shortfall
2024-02-16,M05,Product_B,Morning,10,11.92,0.1,0.51,79.24,96.8,30.4,427.45,581,376,205,205,32.17,6.37,180,6,6879.6,Shortfall
2024-02-16,M04,Product_B,Evening,19,8.43,2.27,0.39,85.44,93.65,23.7,393.3,362,258,104,104,36.62,2.84,200,12,6816.0,Shortfall
2024-02-16,M01,Product_B,Evening,23,10.92,2.83,0.33,99.65,93.05,26.7,251.06,518,396,122,122,42.82,2.85,200,14,7980.0,Shortfall
2024-02-17,M04,Product_B,Night,29,10.65,0.83,1.85,85.87,92.58,33.6,600.23,444,310,134,134,32.47,4.13,230,18,17098.2,Shortfall
2024-02-17,M03,Product_A,Morning,10,8.82,2.85,0.36,97.62,90.5,33.5,277.71,526,309,217,217,43.36,5.0,180,6,5400.0,Shortfall
2024-02-17,M03,Product_A,Evening,28,7.03,2.13,0.02,80.77,96.0,34.5,369.73,379,243,136,136,41.53,3.27,200,17,11118.0,Shortfall
2024-02-17,M03,Product_A,Evening,27,7.26,1.61,0.15,97.76,98.94,27.2,199.04,409,349,60,60,55.2,1.09,200,17,3706.0,Shortfall
2024-02-17,M02,Product_A,Morning,26,6.87,2.61,0.94,85.16,95.72,36.4,190.5,372,208,164,164,40.74,4.03,180,16,11606.4,Shortfall
2024-02-17,M04,Product_B,Morning,9,10.58,0.92,0.49,80.24,88.42,30.8,525.78,497,276,221,221,27.87,7.93,180,6,8564.4,Shortfall
2024-02-17,M01,Product_A,Morning,12,10.28,1.19,1.65,83.66,94.37,35.2,558.23,555,335,220,220,37.02,5.94,180,8,8553.6,Shortfall
2024-02-17,M04,Product_A,Night,20,6.29,2.64,0.31,75.14,95.86,35.3,531.51,314,146,168,168,30.87,5.44,230,12,15014.4,Shortfall
2024-02-18,M03,Product_A,Morning,22,10.37,0.84,1.72,96.92,95.79,25.8,325.17,595,505,90,90,54.27,1.66,180,14,4183.2,Shortfall
2024-02-18,M02,Product_B,Morning,29,8.16,0.42,0.7,77.52,96.48,26.7,560.84,391,286,105,105,37.22,2.82,180,18,9136.8,Shortfall
2024-02-18,M01,Product_C,Evening,12,10.74,2.62,1.93,90.19,95.1,27.6,263.3,438,282,156,156,32.7,4.77,200,8,7632.0,Shortfall
2024-02-18,M05,Product_C,Evening,11,8.64,1.91,1.54,88.3,95.4,37.8,198.48,364,202,162,162,28.65,5.65,200,7,7910.0,Shortfall
2024-02-18,M01,Product_B,Morning,12,10.07,0.28,1.62,86.24,89.03,26.8,491.99,504,330,174,174,35.3,4.93,180,8,7099.2,Shortfall
2024-02-18,M05,Product_B,Night,17,11.05,2.0,0.29,91.04,90.81,36.7,188.13,482,319,163,163,32.39,5.03,230,11,12725.9,Shortfall
2024-02-18,M01,Product_A,Morning,9,6.75,2.17,1.48,81.06,89.97,30.1,467.66,379,182,197,197,36.12,5.45,180,6,5886.0,Shortfall
2024-02-18,M02,Product_B,Evening,10,8.02,1.02,0.47,99.0,91.19,24.3,365.71,355,271,84,84,37.15,2.26,200,6,2712.0,Shortfall
2024-02-18,M01,Product_A,Morning,12,8.45,1.01,0.42,98.12,89.35,21.3,259.26,454,329,125,125,42.47,2.94,180,8,4233.6,Shortfall
2024-02-19,M04,Product_C,Morning,14,8.65,0.38,0.51,83.12,95.24,21.7,231.52,353,232,121,121,28.08,4.31,180,9,6982.2,Shortfall
2024-02-19,M01,Product_B,Morning,21,8.99,2.7,1.5,87.39,94.73,36.0,275.55,465,253,212,212,36.25,5.85,180,13,13689.0,Shortfall
2024-02-19,M05,Product_A,Evening,21,6.39,0.17,1.04,98.74,97.3,25.6,596.96,340,312,28,28,52.59,0.53,200,13,1378.0,Shortfall
2024-02-19,M04,Product_A,Evening,23,11.27,2.74,1.62,79.51,99.13,25.5,536.06,569,368,201,201,40.02,5.02,200,14,14056.0,Shortfall
2024-02-20,M05,Product_A,Evening,9,9.1,0.7,0.19,75.63,94.98,29.6,567.94,498,286,212,212,33.07,6.41,200,6,7692.0,Shortfall
2024-02-20,M01,Product_A,Night,11,11.02,0.97,0.69,96.29,96.09,22.7,437.58,588,420,168,168,41.0,4.1,230,7,6601.0,Shortfall
2024-02-20,M02,Product_C,Evening,16,10.43,0.18,1.96,95.28,99.33,24.0,212.81,431,343,88,88,35.56,2.47,200,10,4940.0,Shortfall
2024-02-20,M04,Product_B,Evening,24,9.58,2.96,1.54,96.87,93.71,33.2,634.31,446,312,134,134,42.09,3.18,200,15,9540.0,Shortfall
2024-02-20,M02,Product_A,Evening,13,7.14,2.08,1.95,97.25,94.01,35.0,306.14,381,209,172,172,39.33,4.37,200,8,6992.0,Shortfall
2024-02-20,M01,Product_B,Evening,23,6.6,1.78,0.65,75.1,92.16,36.8,306.64,309,149,160,160,27.63,5.79,200,14,16212.0,Shortfall
2024-02-20,M04,Product_B,Evening,18,7.92,1.23,1.99,78.24,94.24,36.9,246.07,361,191,170,170,29.17,5.83,200,11,12826.0,Shortfall
2024-02-20,M02,Product_B,Morning,18,11.94,0.77,1.53,86.33,98.67,31.6,436.69,547,425,122,122,38.7,3.15,180,11,6237.0,Shortfall
2024-02-20,M05,Product_A,Night,20,9.23,0.62,0.88,84.08,98.59,32.4,455.55,468,347,121,121,40.44,2.99,230,12,8252.4,Shortfall
2024-02-20,M01,Product_B,Morning,25,11.19,0.21,0.63,94.89,92.77,35.8,181.71,555,456,99,99,42.01,2.36,180,15,6372.0,Shortfall
2024-02-20,M03,Product_A,Night,28,9.89,0.48,1.77,81.17,91.51,33.8,468.44,533,363,170,170,40.3,4.22,230,17,16500.2,Shortfall
2024-02-21,M04,Product_A,Night,21,9.8,0.48,0.31,89.74,90.61,35.2,412.46,475,334,141,141,35.43,3.98,230,13,11900.2,Shortfall
2024-02-21,M04,Product_A,Morning,28,7.39,2.28,1.72,92.76,90.01,37.3,623.29,374,248,126,126,44.81,2.81,180,17,8598.6,Shortfall
2024-02-21,M02,Product_A,Night,19,9.02,2.58,1.97,94.54,99.41,26.2,591.69,443,315,128,128,45.58,2.81,230,12,7755.6,Shortfall
2024-02-21,M01,Product_C,Morning,21,9.74,2.06,1.23,96.97,90.64,24.7,468.61,440,307,133,133,37.55,3.54,180,13,8283.6,Shortfall
2024-02-21,M04,Product_B,Morning,29,10.65,0.79,0.59,85.83,91.03,31.1,389.3,478,393,85,85,39.26,2.17,180,18,7030.8,Shortfall
2024-02-21,M05,Product_B,Morning,17,6.15,2.48,1.78,78.73,88.15,31.8,554.86,310,125,185,185,30.03,6.16,180,11,12196.8,Shortfall
2024-02-22,M04,Product_A,Morning,28,11.34,0.13,0.6,98.3,98.81,37.1,274.24,580,540,40,40,48.83,0.82,180,17,2509.2,Shortfall
2024-02-22,M03,Product_A,Morning,13,9.02,0.47,0.57,98.32,96.55,35.7,333.11,507,404,103,103,47.19,2.18,180,8,3139.2,Shortfall
2024-02-22,M02,Product_C,Morning,24,11.91,2.34,1.79,95.96,90.41,26.5,530.5,515,378,137,137,37.81,3.62,180,15,9774.0,Shortfall
2024-02-22,M03,Product_A,Night,26,8.38,2.56,1.13,89.84,88.53,26.5,523.93,422,279,143,143,42.42,3.37,230,16,12401.6,Shortfall
2024-02-22,M04,Product_B,Night,30,10.85,1.73,1.06,87.2,99.23,33.0,472.29,441,377,64,64,39.57,1.62,230,18,6706.8,Shortfall
2024-02-22,M05,Product_B,Evening,22,8.5,1.2,0.15,90.69,99.33,34.5,256.57,398,330,68,68,42.38,1.6,200,14,4480.0,Shortfall
2024-02-22,M03,Product_B,Night,10,7.21,2.16,1.03,88.33,97.68,21.3,631.48,347,210,137,137,37.09,3.69,230,6,5092.2,Shortfall
2024-02-22,M05,Product_C,Morning,21,9.9,0.74,0.95,88.73,97.98,28.1,606.13,417,330,87,87,36.02,2.42,180,13,5662.8,Shortfall
2024-02-22,M03,Product_C,Evening,27,10.34,0.76,1.61,97.24,93.04,24.7,190.17,440,378,62,62,40.39,1.54,200,17,5236.0,Shortfall
2024-02-22,M04,Product_A,Night,9,9.74,0.97,1.51,90.2,93.4,24.9,215.77,483,294,189,189,33.88,5.58,230,6,7700.4,Shortfall
2024-02-22,M05,Product_B,Night,24,10.26,0.04,1.71,76.34,90.33,22.6,472.43,451,286,165,165,29.67,5.56,230,15,19182.0,Shortfall
2024-02-22,M05,Product_A,Night,20,10.14,1.21,0.74,83.4,90.04,34.7,504.36,497,337,160,160,36.57,4.38,230,12,12088.8,Shortfall
2024-02-23,M01,Product_A,Evening,8,9.02,1.07,1.58,88.13,91.38,31.1,181.89,479,297,182,182,37.7,4.83,200,5,4830.0,Shortfall
2024-02-23,M01,Product_B,Night,10,9.52,2.89,0.04,97.5,97.73,21.1,225.16,441,305,136,136,38.53,3.53,230,6,4871.4,Shortfall
2024-02-23,M02,Product_B,Morning,25,6.23,2.73,0.94,84.42,97.27,27.9,534.63,303,182,121,121,41.37,2.92,180,15,7884.0,Shortfall
2024-02-23,M04,Product_A,Evening,19,9.49,2.92,1.01,99.24,89.83,32.1,184.99,489,311,178,178,41.3,4.31,200,12,10344.0,Shortfall
2024-02-23,M03,Product_A,Morning,21,11.58,1.94,1.81,95.31,99.99,33.7,473.63,664,538,126,126,54.46,2.31,180,13,5405.4,Shortfall
2024-02-23,M04,Product_C,Night,13,11.8,0.35,1.29,96.76,88.89,35.5,363.32,429,301,128,128,26.98,4.74,230,8,8721.6,Shortfall
2024-02-23,M05,Product_B,Night,19,9.09,1.07,1.78,75.71,96.63,32.8,625.14,414,261,153,153,33.13,4.62,230,12,12751.2,Shortfall
2024-02-23,M05,Product_A,Morning,12,8.4,2.7,1.14,77.03,88.33,33.9,551.93,451,217,234,234,33.3,7.03,180,8,10123.2,Shortfall
2024-02-23,M05,Product_B,Night,19,6.37,0.95,1.22,83.94,98.49,20.4,391.79,294,197,97,97,36.34,2.67,230,12,7369.2,Shortfall
2024-02-23,M02,Product_C,Night,17,8.22,1.11,0.1,78.28,92.65,25.9,553.47,319,199,120,120,26.27,4.57,230,11,11562.1,Shortfall
2024-02-23,M01,Product_B,Night,29,11.73,1.66,1.17,92.94,95.03,37.7,606.63,511,405,106,106,38.91,2.72,230,18,11260.8,Shortfall
2024-02-23,M05,Product_A,Night,23,10.45,0.95,1.1,81.63,95.38,21.3,424.57,521,355,166,166,37.2,4.46,230,14,14361.2,Shortfall
2024-02-24,M01,Product_C,Night,12,7.46,0.47,0.77,87.67,92.11,27.1,426.83,301,216,85,85,31.16,2.73,230,8,5023.2,Shortfall
2024-02-24,M04,Product_B,Morning,25,10.67,2.31,1.76,88.68,95.31,28.1,588.45,510,347,163,163,39.51,4.13,180,15,11151.0,Shortfall
2024-02-24,M05,Product_B,Morning,19,9.3,1.36,0.35,92.15,94.99,34.1,410.08,457,334,123,123,39.62,3.1,180,12,6696.0,Shortfall
2024-02-24,M05,Product_A,Night,12,9.36,1.45,1.75,96.37,89.55,21.5,572.85,481,313,168,168,39.37,4.27,230,8,7856.8,Shortfall
2024-02-24,M02,Product_B,Evening,26,6.81,2.59,1.71,80.99,98.95,22.2,253.71,320,201,119,119,41.99,2.83,200,16,9056.0,Shortfall
2024-02-24,M04,Product_B,Evening,28,6.72,2.13,1.52,83.47,92.85,37.1,476.65,306,179,127,127,35.68,3.56,200,17,12104.0,Shortfall
2024-02-24,M01,Product_B,Evening,12,11.42,0.47,1.11,84.59,91.94,20.4,438.35,570,378,192,192,35.09,5.47,200,8,8752.0,Shortfall
2024-02-24,M05,Product_C,Night,13,11.47,1.49,0.18,82.79,92.32,26.2,558.14,449,290,159,159,27.39,5.81,230,8,10690.4,Shortfall
2024-02-24,M04,Product_A,Evening,30,9.96,2.43,1.59,94.42,97.49,31.5,557.68,509,418,91,91,51.82,1.76,200,18,6336.0,Shortfall
2024-02-24,M04,Product_A,Morning,30,9.17,0.66,0.62,78.1,89.09,24.3,563.33,477,320,157,157,37.25,4.21,180,18,13640.4,Shortfall
2024-02-24,M01,Product_B,Evening,17,7.66,1.71,0.74,91.99,89.55,29.8,217.5,368,248,120,120,38.39,3.13,200,11,6886.0,Shortfall
2024-02-25,M02,Product_A,Evening,12,10.0,2.98,1.8,76.33,96.31,33.8,449.16,524,263,261,261,34.02,7.67,200,8,12272.0,Shortfall
2024-02-25,M04,Product_A,Night,15,10.01,1.82,1.13,87.04,98.63,32.6,624.01,478,339,139,139,39.36,3.53,230,9,7307.1,Shortfall
2024-02-25,M02,Product_A,Morning,28,10.16,0.52,0.49,93.83,91.42,23.5,603.39,553,471,82,82,48.54,1.69,180,17,5171.4,Shortfall
2024-02-25,M05,Product_B,Morning,25,9.78,0.11,0.95,90.74,94.52,25.9,466.03,499,402,97,97,42.83,2.26,180,15,6102.0,Shortfall
2024-02-25,M03,Product_A,Evening,12,7.62,1.11,1.59,97.24,90.9,28.6,454.72,416,287,129,129,44.48,2.9,200,8,4640.0,Shortfall
2024-02-25,M01,Product_C,Night,10,8.85,0.74,0.22,87.69,96.61,26.4,194.76,349,224,125,125,26.78,4.67,230,6,6444.6,Shortfall
2024-02-26,M05,Product_A,Morning,15,8.62,2.47,1.9,78.29,95.15,22.7,254.29,477,252,225,225,38.2,5.89,180,9,9541.8,Shortfall
2024-02-26,M05,Product_B,Morning,9,8.04,2.23,0.42,85.83,88.9,29.4,431.41,399,230,169,169,34.5,4.9,180,6,5292.0,Shortfall
2024-02-26,M02,Product_A,Night,22,8.06,2.04,1.45,82.32,90.72,23.6,493.49,404,249,155,155,38.72,4.0,230,14,12880.0,Shortfall
2024-02-26,M02,Product_A,Evening,11,8.43,2.21,1.13,88.93,98.01,35.6,468.24,453,259,194,194,37.98,5.11,200,7,7154.0,Shortfall
2024-02-26,M04,Product_B,Evening,26,8.94,1.22,1.05,90.17,88.51,24.6,575.28,419,279,140,140,35.31,3.96,200,16,12672.0,Shortfall
2024-02-26,M04,Product_C,Morning,30,10.47,2.06,0.44,80.22,97.1,35.7,195.13,441,299,142,142,32.56,4.36,180,18,14126.4,Shortfall
2024-02-26,M03,Product_C,Evening,13,9.62,2.24,1.48,81.81,89.44,37.7,464.88,413,214,199,199,27.19,7.32,200,8,11712.0,Shortfall
2024-02-26,M03,Product_C,Night,24,6.76,0.94,0.69,87.11,93.23,33.7,364.62,285,195,90,90,32.49,2.77,230,15,9556.5,Shortfall
2024-02-27,M04,Product_A,Evening,10,6.51,1.62,0.88,92.2,92.94,32.4,572.19,341,201,140,140,37.85,3.7,200,6,4440.0,Shortfall
2024-02-27,M04,Product_A,Morning,12,10.87,0.81,1.88,82.41,91.39,25.8,384.94,572,353,219,219,36.14,6.06,180,8,8726.4,Shortfall
2024-02-27,M04,Product_A,Night,17,9.69,0.39,1.06,95.78,93.14,26.9,186.88,458,345,113,113,37.89,2.98,230,11,7539.4,Shortfall
2024-02-27,M02,Product_B,Night,13,8.11,2.81,0.6,91.68,90.08,37.5,235.42,371,199,172,172,31.32,5.49,230,8,10101.6,Shortfall
2024-02-27,M01,Product_B,Morning,29,9.26,1.56,0.77,82.08,96.19,25.3,289.03,439,340,99,99,41.81,2.37,180,18,7678.8,Shortfall
2024-02-27,M02,Product_B,Morning,11,6.49,1.35,0.36,92.44,90.41,30.8,286.7,311,195,116,116,34.69,3.34,180,7,4208.4,Shortfall
2024-02-27,M02,Product_B,Night,10,8.07,1.77,1.57,90.69,90.07,36.1,356.8,361,195,166,166,29.78,5.57,230,6,7686.6,Shortfall
2024-02-27,M01,Product_A,Morning,28,9.58,1.05,0.28,85.34,96.38,29.4,613.4,564,433,131,131,48.63,2.69,180,17,8231.4,Shortfall
2024-02-27,M05,Product_A,Evening,28,11.16,2.57,0.73,83.9,93.12,35.8,210.49,621,342,279,279,36.03,7.74,200,17,26316.0,Shortfall
2024-02-28,M02,Product_C,Evening,8,11.55,0.46,1.63,86.2,92.19,23.5,218.76,473,276,197,197,25.73,7.66,200,5,7660.0,Shortfall
2024-02-28,M05,Product_A,Morning,20,11.94,2.62,1.4,79.66,92.93,28.8,204.81,661,406,255,255,40.56,6.29,180,12,13586.4,Shortfall
2024-02-28,M01,Product_A,Evening,13,11.6,0.79,0.32,78.71,94.05,36.5,647.74,629,378,251,251,34.2,7.34,200,8,11744.0,Shortfall
2024-02-28,M01,Product_A,Evening,26,10.84,1.96,1.46,89.96,95.65,33.6,337.51,586,426,160,160,46.05,3.47,200,16,11104.0,Shortfall
2024-02-28,M01,Product_B,Night,30,8.8,1.68,0.68,96.3,98.94,20.6,638.83,385,337,48,48,44.12,1.09,230,18,4512.6,Shortfall
2024-02-28,M02,Product_A,Morning,26,6.53,2.2,0.73,86.83,96.69,21.9,583.82,339,219,120,120,43.24,2.78,180,16,8006.4,Shortfall
2024-02-28,M02,Product_B,Morning,26,8.68,1.21,1.52,99.58,89.46,21.0,610.59,418,338,80,80,45.17,1.77,180,16,5097.6,Shortfall
2024-02-29,M04,Product_B,Morning,8,7.77,0.2,1.62,98.53,89.64,30.2,413.14,370,240,130,130,33.84,3.84,180,5,3456.0,Shortfall
2024-02-29,M03,Product_B,Morning,13,8.97,1.35,0.67,84.21,91.08,23.4,530.66,441,286,155,155,35.78,4.33,180,8,6235.2,Shortfall
2024-02-29,M03,Product_C,Evening,16,10.63,1.96,1.9,82.86,90.02,24.7,263.48,468,262,206,206,29.48,6.99,200,10,13980.0,Shortfall
2024-02-29,M02,Product_B,Morning,18,10.54,1.09,1.49,88.35,92.16,28.5,564.27,527,361,166,166,38.33,4.33,180,11,8573.4,Shortfall
2024-02-29,M05,Product_C,Morning,29,6.24,2.06,0.52,99.87,95.39,21.3,478.21,277,200,77,77,40.61,1.9,180,18,6156.0,Shortfall
2024-02-29,M03,Product_B,Night,11,7.52,2.62,0.47,80.08,88.45,33.3,512.83,355,174,181,181,29.42,6.15,230,7,9901.5,Shortfall
2024-02-29,M01,Product_B,Morning,28,6.44,1.84,2.0,96.38,97.74,22.4,571.89,326,215,111,111,45.47,2.44,180,17,7466.4,Shortfall
2024-02-29,M03,Product_B,Night,28,9.16,1.21,0.56,98.52,93.52,28.7,609.83,414,354,60,60,42.66,1.41,230,17,5513.1,Shortfall
2024-03-01,M03,Product_A,Night,25,8.42,0.35,0.89,77.51,93.29,32.7,252.65,430,297,133,133,37.52,3.54,230,15,12213.0,Shortfall
2024-03-01,M03,Product_A,Evening,17,8.45,2.98,1.41,80.16,89.1,32.2,338.81,487,250,237,237,39.57,5.99,200,11,13178.0,Shortfall
2024-03-01,M02,Product_A,Morning,28,7.59,0.8,0.8,93.18,89.1,31.1,633.35,395,334,61,61,48.62,1.25,180,17,3825.0,Shortfall
2024-03-01,M01,Product_B,Morning,12,6.44,1.69,0.38,87.12,93.44,29.4,193.57,326,191,135,135,35.52,3.8,180,8,5472.0,Shortfall
2024-03-01,M05,Product_A,Morning,14,10.58,2.07,0.51,95.79,91.72,27.2,436.74,561,398,163,163,42.97,3.79,180,9,6139.8,Shortfall
2024-03-01,M04,Product_C,Night,27,11.22,1.5,1.4,91.04,91.24,34.9,444.88,423,294,129,129,29.68,4.35,230,17,17008.5,Shortfall
2024-03-01,M03,Product_B,Morning,10,11.44,2.99,0.04,88.79,95.86,36.0,570.15,560,355,205,205,36.29,5.65,180,6,6102.0,Shortfall
2024-03-02,M03,Product_A,Morning,30,9.68,1.17,1.55,90.59,90.84,21.1,231.14,570,421,149,149,49.56,3.01,180,18,9752.4,Shortfall
2024-03-02,M01,Product_B,Evening,27,9.95,2.95,0.93,84.77,96.47,23.7,205.73,471,322,149,149,40.24,3.7,200,17,12580.0,Shortfall
2024-03-02,M02,Product_A,Night,26,6.47,0.17,0.01,75.14,89.37,26.5,272.02,318,233,85,85,36.56,2.32,230,16,8537.6,Shortfall
2024-03-02,M01,Product_C,Night,13,9.67,2.54,1.57,85.07,93.55,22.4,483.4,376,244,132,132,31.59,4.18,230,8,7691.2,Shortfall
2024-03-02,M04,Product_C,Night,26,6.54,0.38,0.41,98.57,97.94,20.2,519.83,248,220,28,28,35.56,0.79,230,16,2907.2,Shortfall
2024-03-02,M03,Product_B,Morning,30,11.14,1.61,1.51,80.06,90.57,30.4,594.99,595,409,186,186,42.05,4.42,180,18,14320.8,Shortfall
2024-03-02,M03,Product_C,Evening,12,11.05,2.85,0.9,79.29,98.52,38.0,446.12,499,247,252,252,26.94,9.35,200,8,14960.0,Shortfall
2024-03-02,M01,Product_C,Night,23,9.87,1.8,0.33,78.26,96.9,27.8,249.91,408,274,134,134,31.26,4.29,230,14,13813.8,Shortfall
2024-03-02,M05,Product_B,Evening,8,7.28,0.32,0.6,98.46,92.45,32.3,319.18,351,254,97,97,36.84,2.63,200,5,2630.0,Shortfall
2024-03-02,M03,Product_B,Morning,27,7.48,0.25,1.11,98.05,96.18,26.0,595.41,395,372,23,23,53.49,0.43,180,17,1315.8,Shortfall
2024-03-02,M02,Product_B,Morning,8,7.16,2.26,0.81,98.79,91.34,20.8,456.92,348,222,126,126,39.41,3.2,180,5,2880.0,Shortfall
2024-03-02,M05,Product_A,Morning,27,10.82,1.62,1.5,90.04,94.83,31.7,606.9,588,474,114,114,50.4,2.26,180,17,6915.6,Shortfall
2024-03-02,M05,Product_A,Night,23,8.89,0.63,0.58,89.8,98.24,35.2,279.44,441,337,104,104,40.41,2.57,230,14,8275.4,Shortfall
2024-03-03,M03,Product_C,Morning,27,6.45,1.17,1.52,78.22,96.97,23.6,299.76,284,161,123,123,30.52,4.03,180,17,12331.8,Shortfall
2024-03-03,M01,Product_C,Night,25,11.29,1.79,1.4,80.22,98.64,21.3,459.89,431,295,136,136,30.05,4.53,230,15,15628.5,Shortfall
2024-03-03,M01,Product_A,Morning,26,7.25,0.86,1.52,83.38,90.17,31.4,358.58,422,259,163,163,41.47,3.93,180,16,11318.4,Shortfall
2024-03-03,M05,Product_C,Evening,20,11.94,1.47,0.76,90.31,97.93,30.0,612.53,502,402,100,100,37.0,2.7,200,12,6480.0,Shortfall
2024-03-03,M05,Product_C,Morning,12,6.45,0.58,0.92,85.04,89.02,37.8,213.33,275,156,119,119,26.85,4.43,180,8,6379.2,Shortfall
2024-03-03,M05,Product_C,Evening,12,10.16,0.87,1.11,91.78,94.26,30.1,537.88,407,302,105,105,32.5,3.23,200,8,5168.0,Shortfall
2024-03-03,M01,Product_B,Morning,29,7.44,2.44,1.09,95.92,99.13,32.7,614.56,384,288,96,96,50.38,1.91,180,18,6188.4,Shortfall
2024-03-03,M03,Product_C,Evening,18,10.55,2.32,0.72,96.45,93.06,28.6,262.98,450,331,119,119,36.69,3.24,200,11,7128.0,Shortfall
2024-03-03,M04,Product_A,Morning,24,9.65,1.93,0.5,91.96,88.23,36.0,497.15,497,336,161,161,39.94,4.03,180,15,10881.0,Shortfall
2024-03-03,M02,Product_B,Evening,10,6.08,2.16,0.1,97.93,96.23,23.7,334.33,274,167,107,107,34.38,3.11,200,6,3732.0,Shortfall
2024-03-03,M03,Product_A,Morning,8,7.61,1.75,0.83,94.46,91.72,33.7,344.47,438,280,158,158,44.05,3.59,180,5,3231.0,Shortfall
2024-03-03,M05,Product_A,Morning,28,6.66,0.76,0.49,77.51,98.27,36.9,194.51,360,248,112,112,40.85,2.74,180,17,8384.4,Shortfall
